codigo,nombre,precio,laboratorio
306014,CULTIVO CAMPYLOBACTER,20464,imalab
306008,CULTIVO CORRIENTE,4090,imalab
306008,CULTIVO CUANTITATIVO,4090,imalab
306008,CULTIVO CUANTITATIVO (LBA),4090,imalab
308044,CULTIVO DE FLUJO VAGINAL,8784,imalab
306017,CULTIVO DE HONGOS,3038,imalab
306018,CULTIVO DE KOCH,5169,imalab
306101,CULTIVO DE LÍQUIDO DE CAVIDADES ESTÉRILES,15231,imalab
306022,CULTIVO DE MYCOBACTERIA TIPIFICACION DE,6963,imalab
306016,CULTIVO DE NEISSERIA GONORRHOEAE (GONOCOCO),3340,imalab
306023,CULTIVO MYCOPLASMA Y UREAPLASMA,10352,imalab
308044,CULTIVO ORINA PRIMERA MICCION,8784,imalab
306012,CULTIVO PARA ANAEROBIOS,9994,imalab
306117,CULTIVO PARA DERMATOFITOS,3430,imalab
306019,CULTIVO PARA LEGIONELLA,6963,imalab
306017,CULTIVO PARA LEVADURAS,3038,imalab
306014,CULTIVO PARA VIBRIO,8720,imalab
306014,CULTIVO PARA YERSINIA,8720,imalab
306008,CULTIVO RESPIRATORIO,4090,imalab
306008,CULTIVO VIGILANCIA ENTEROCOCO (ERV),4090,imalab
306008,CULTIVO VIGILANCIA KPC,4090,imalab
303031,CURVA DE INSULINA,15575,imalab
303008,DEHIDROEPIANDROSTERONA SULFATO (DHEAS),7863,imalab
302031,DESHIDROGENASA LACTICA TOTAL (LDH) CON SEP. DE ISOENZIMAS,10784,imalab
306033,DETECCIÓN DE ANTICUERPOS IgG ANTI BRUCELLA ABORTUS/MELLITENSIS/SUIS,3408,imalab
702207,DETECCIÓN DE ANTICUERPOS IRREGULARES ERITROCITARIOS,2811,imalab
305096,DETECCION DE ENFERMEDAD RESIDUAL MINIMA,1136876,imalab
306170,DETECCIÓN DE ROTAVIRUS,5774,imalab
305012,Determinación Complemento C3,7680,imalab
305012,Determinación Complemento C4,7680,imalab
306069,Determinación de anticuerpos virales (IgG): Adenovirus,16000,imalab
306069,Determinación de anticuerpos virales (IgG): Citomegalovirus,16000,imalab
306069,Determinación de anticuerpos virales (IgG): Epstein Barr (VCA),16000,imalab
306069,Determinación de anticuerpos virales (IgG): Herpes 1,11200,imalab
306069,Determinación de anticuerpos virales (IgG): Herpes 2,11200,imalab
306069,Determinación de anticuerpos virales (IgG): Parotiditis,92800,imalab
306069,Determinación de anticuerpos virales (IgG): Rubeola,16000,imalab
306069,Determinación de anticuerpos virales (IgG): Sarampión,16800,imalab
306069,Determinación de anticuerpos virales (IgG): Varicella Zoster,59200,imalab
306069,Determinación de anticuerpos virales (IgM): Adenovirus,16000,imalab
306069,Determinación de anticuerpos virales (IgM): Citomegalovirus,16000,imalab
306069,Determinación de anticuerpos virales (IgM): Epstein Barr (VCA),16000,imalab
306069,Determinación de anticuerpos virales (IgM): Herpes 1,11200,imalab
306069,Determinación de anticuerpos virales (IgM): Herpes 2,11200,imalab
306069,Determinación de anticuerpos virales (IgM): Influenza A,10240,imalab
306069,Determinación de anticuerpos virales (IgM): Influenza B,10240,imalab
306069,Determinación de anticuerpos virales (IgM): Parainfluenza 1,10240,imalab
306069,Determinación de anticuerpos virales (IgM): Parainfluenza 2,10240,imalab
306069,Determinación de anticuerpos virales (IgM): Parainfluenza 3,10240,imalab
306069,Determinación de anticuerpos virales (IgM): Parotiditis,92800,imalab
306069,Determinación de anticuerpos virales (IgM): Rubeola,16000,imalab
306069,Determinación de anticuerpos virales (IgM): Sarampión,16800,imalab
306069,Determinación de anticuerpos virales (IgM): Varicella Zoster,59200,imalab
306112,DETERMINACIÓN DE ANTICUERPOS Y ANTÍGENOS V.I.H.,5107,imalab
P309801,DETERMINACIÓN DE ZINC EN ORINA,78400,imalab
P302801,DETERMINACIÓN DE ZINC SÉRICO,78400,imalab
306049,DIAGNOSTICO DE PARASITOSEN JUGO DUODENAL Y/O BILIS.,3203,imalab
304007,Diagnóstico Genético Molecular: Displasia Tanatofórica tipo I y II,43219,imalab
301095,DIMERO-D,13506,imalab
306004,DIRECTO DE HONGOS,1691,imalab
306539,E. COLI ENTEROPATOGENO,12669,imalab
308007,ELASTASA FECAL CUANTITATIVA,141883,imalab
VCEFHBG,ELECTROFORESIS DE HEMOGLOBINA,51200,imalab
302061,ELECTROFORESIS DE PROTEINAS,7093,imalab
308520,ELECTROFORESIS DE PROTEINAS EN ORINA 24 HRS,25208,imalab
309012,ELECTROLITOS ORINA 24 HRS,1780,imalab
309012,ELECTROLITOS ORINA AISLADA,1780,imalab
302032,ELECTROLITOS PLASMATICOS,1450,imalab
302032,ELECTROLITOS PLASMATICOS ARTERIALES,1450,imalab
302032,ELECTROLITOS PLASMATICOS VENOSOS,1450,imalab
302033,ENZIMA CONVERTIDORA DE ANGIOTENSINA I,108755,imalab
303009,ERITROPOYETINA,9632,imalab
305113,ESPECIFICIDAD DE ANTICUERPOS HLA  CON ANTÍGENOS INDIVIDUALES CLASE I  (LUMINEX),172149,imalab
305114,ESPECIFICIDAD DE ANTICUERPOS HLA  CON ANTÍGENOS INDIVIDUALES CLASE II (LUMINEX),202790,imalab
308029,"ESPERMIOGRAMA (FÍSICO Y MICROSCÓPICO, CON O SIN OBSERVACIÓN HASTA 24 HORAS)",7792,imalab
308029,"ESPERMIOGRAMA (FÍSICO Y MICROSCÓPICO, CON O SIN OBSERVACIÓN HASTA 24 HORAS)",7792,imalab
308047,ESTEATOCRITO,39486,imalab
303030,ESTRADIOL (17-BETA),6090,imalab
P303010,ESTRIOL,9600,imalab
P303011,ESTRONA,16000,imalab
304009,Estudio de deleciones y duplicaciones por MLPA (1 o varios genes),176448,imalab
306052,ESTUDIO DE GUSANOS MACROSCOPICOS,1980,imalab
301094,ESTUDIO DE HEMOGLOBINURIA PAROXISTICA NOCTURNA,275846,imalab
305106,ESTUDIO INMUNOLÓGICO DE DIABETES,175408,imalab
304010,ESTUDIO MLPA MÁS METILACION O SEGUNDO SET DE SONDAS (UNO O VARIOS GENES),208400,imalab
305115,ESTUDIO RECEPTOR TRASPLANTADO CON DONANTE CADÁVER,326208,imalab
301020,EUGLOBULINAS TIEMPO DE LISIS DE,2688,imalab
306004,EXAMEN DIRECTO AL FRESCO,1691,imalab
306004,EXAMEN DIRECTO AL FRESCO DE HONGOS,1691,imalab
P301059,Factor II protrombina 20210 G>A (mutación gen protrombina),112000,imalab
305020,FACTOR REUMATOIDEO Elisa,5189,imalab
301024,FACTOR V,106765,imalab
P301024,"FACTOR V LEIDEN, MUTACION",118400,imalab
301089,FACTOR VON WILLEBRAND (FACTOR FVW AG.),107041,imalab
301025,FACTOR-IX,105600,imalab
301025,FACTOR-VII,105600,imalab
301025,FACTOR-VIII,105600,imalab
301025,FACTOR-X,105600,imalab
301025,FACTOR-XI,105600,imalab
301025,FACTOR-XII,105600,imalab
301025,FACTOR-XIII,377600,imalab
P306061,"Fasciola Hepática, Anticuerpos IgG por FASCIOLA HEPÁTICA DIAGNÓSTICO SEROLÓGICO",24000,imalab
P306061,"Fasciola Hepática, Anticuerpos IgM por FASCIOLA HEPÁTICA DIAGNÓSTICO SEROLÓGICO",24000,imalab
302036,FENILALANINA,4256,imalab
302082,FENILALANINA CUANTITATIVA EN GSS,9664,imalab
302036,FENILALANINA PKU,4256,imalab
302035,FENITOINA,10256,imalab
302035,FENOBARBITAL,10256,imalab
301026,FERRITINA,6784,imalab
301021,FIBRINOGENO,2880,imalab
301028,FIERRO SERICO,2399,imalab
304015,"FISH EN FROTIS FRESCOS DE MÉDULA ÓSEA, SANGRE, CONCENTRADO DE CÉLULAS",206880,imalab
304006,FISH EN METAFASES. BUSQUEDA DE UNA ALTERACION CONSTITUCIONAL CON 1 SONDA,98357,imalab
308014,FISICO QUIMICO  LIQUIDO PLEURAL,3169,imalab
308014,FISICO QUIMICO LCR,3169,imalab
308014,FISICO QUIMICO LIQUIDO,3169,imalab
308014,FISICO QUIMICO LIQUIDO ASCITICO,3169,imalab
308014,FISICO QUIMICO LIQUIDO DE DRENAJE,3169,imalab
308014,FISICO QUIMICO LIQUIDO PERICARDICO,3169,imalab
308014,FISICO QUIMICO LIQUIDO SINOVIAL (LIQ. ARTICULAR),3169,imalab
308030,FOSFATASA ACIDA PROSTATICA,5248,imalab
302039,FOSFATASAS ALC. CON SEP. DE ISO. HEPINTESTINAL,10384,imalab
302040,FOSFATASAS ALCALINAS,1443,imalab
308036,FOSFATIDIL GLICEROL Y/O FOSFATIDIL INOSITOL,8887,imalab
302042,FOSFORO,2069,imalab
309015,FOSFORO EN ORINA,2309,imalab
309015,FOSFORO EN ORINA 24 HRS,2309,imalab
302043,GALACTOSA,1004,imalab
302045,GAMMA GLUTAMILTRANSPEPTIDASA (GGT),2529,imalab
302046,GASES ARTERIALES,4420,imalab
302046,GASES DE CORDON,4420,imalab
302046,GASES MIXTOS,4420,imalab
302046,GASES VENOSOS,4420,imalab
303012,GASTRINA,13102,imalab
306182,GENEXPERT MTB/RIF,0,imalab
302047,GLICEMIA 120 MINUTOS POST CARGA,1409,imalab
